time,open,high,low,close,tick_volume,spread,real_volume
2023-09-07,1917.55,1923.57,1916.19,1919.6,68131,5,0
2023-09-08,1919.55,1929.71,1917.32,1918.98,68838,5,0
2023-09-11,1920.46,1930.67,1916.61,1922.3,74372,5,0
2023-09-12,1922.63,1924.51,1907.55,1913.31,70405,5,0
2023-09-13,1913.15,1915.71,1905.42,1908.11,84095,5,0
2023-09-14,1908.69,1912.88,1900.95,1910.5,110762,5,0
2023-09-15,1910.79,1930.4,1909.73,1923.55,102341,5,0
2023-09-18,1923.39,1934.21,1922.52,1933.59,82944,5,0
2023-09-19,1933.66,1937.33,1929.77,1931.29,69870,5,0
2023-09-20,1932.01,1947.42,1927.92,1930.33,96561,5,0
2023-09-21,1930.35,1931.51,1913.91,1920.0,100643,5,0
2023-09-22,1919.4,1929.09,1919.28,1925.09,75688,5,0
2023-09-25,1925.27,1927.17,1915.13,1915.74,74818,5,0
2023-09-26,1916.04,1916.79,1899.11,1900.55,82580,5,0
2023-09-27,1900.54,1903.9,1872.5,1874.97,92610,5,0
2023-09-28,1876.1,1879.63,1857.62,1864.82,100481,5,0
2023-09-29,1865.05,1879.82,1846.28,1849.08,103229,5,0
2023-10-02,1847.01,1848.89,1827.15,1827.77,103001,5,0
2023-10-03,1828.89,1833.35,1815.17,1822.92,128913,5,0
2023-10-04,1823.23,1830.58,1816.56,1821.04,122235,5,0
2023-10-05,1821.37,1829.14,1812.99,1820.12,108558,5,0
2023-10-06,1820.52,1834.84,1810.41,1831.58,117110,5,0
2023-10-09,1850.0,1863.48,1844.18,1861.32,104122,5,0
2023-10-10,1861.21,1865.39,1852.98,1860.39,117472,5,0
2023-10-11,1859.99,1877.2,1858.59,1874.24,107174,5,0
2023-10-12,1874.32,1884.97,1867.89,1868.7,108972,5,0
2023-10-13,1868.97,1930.72,1868.97,1930.08,123068,5,0
2023-10-16,1923.43,1927.61,1908.13,1920.13,112258,5,0
2023-10-17,1919.95,1931.56,1912.36,1923.04,113586,5,0
2023-10-18,1923.91,1962.63,1923.25,1947.54,130856,5,0
2023-10-19,1947.73,1977.69,1945.18,1974.31,136135,5,0
2023-10-20,1973.47,1997.13,1971.96,1980.3,138243,5,0
2023-10-23,1968.88,1982.79,1964.31,1972.72,124022,5,0
2023-10-24,1973.42,1980.84,1953.42,1970.97,117658,5,0
2023-10-25,1970.78,1987.18,1962.89,1979.47,103561,5,0
2023-10-26,1980.26,1993.41,1971.73,1984.88,128646,5,0
2023-10-27,1984.54,2009.36,1976.79,2005.7,117182,5,0
2023-10-30,2004.67,2006.68,1990.9,1996.11,111497,5,0
2023-10-31,1995.71,2007.96,1978.81,1983.95,117305,5,0
2023-11-01,1983.48,1992.05,1969.83,1982.68,115872,5,0
2023-11-02,1983.29,1991.01,1978.8,1985.82,104384,5,0
2023-11-03,1985.92,2004.08,1983.2,1992.39,105126,5,0
2023-11-06,1992.85,1993.09,1977.39,1977.79,99120,5,0
2023-11-07,1977.93,1978.27,1956.67,1969.1,100332,5,0
2023-11-08,1969.05,1970.96,1947.41,1950.17,105174,5,0
